assay_chembl_id,Target TYPE,accession,acts_per_assay_step5,assay_cell_type,assay_subcellular_fraction,assay_tissue,bao_format,cited_assay_corr,description,document_chembl_id,error_assay_corr,higly_correlated_cit,isoform,month,mutation,shuffled_cit,shuffled_target_assay,substrate_name,target_chembl_id,target_name,version,year
CHEMBL1000139,Enzyme,,2,,Membrane,Liver,BAO_0000249,FALSE,Displacement of [3H](-)-(S)-emopamil from EBP in guinea pig liver membrane,CHEMBL1140235,FALSE,FALSE,,11,,FALSE,FALSE,[ 3h ] ( - ) - ( s ) - emopamil,CHEMBL5525,ebp,,2008
CHEMBL1000140,Binding protein & cell surface receptor,,5,,Membrane,Brain,BAO_0000249,FALSE,Displacement of [3H](+)-pentazocine from sigma 1 receptor in guinea pig brain membrane without cerebellum,CHEMBL1140235,FALSE,FALSE,,11,,FALSE,FALSE,[ 3h ] ( + ) - pentazocine,CHEMBL4153,sigma 1 receptor,,2008
CHEMBL1000236,Enzyme,,,,,,BAO_0000357,FALSE,Displacement of [3H]PDBu form human PKCalpha in presence of phosphatidylserine,CHEMBL1138492,FALSE,FALSE,,4,,FALSE,FALSE,[ 3h ] pdbu,CHEMBL299,pkcalpha,,2009
CHEMBL1000237,Enzyme,,,,,,BAO_0000357,FALSE,Displacement of [3H]PDBu form human PKCbeta in presence of phosphatidylserine,CHEMBL1138492,FALSE,FALSE,,4,,FALSE,FALSE,[ 3h ] pdbu,CHEMBL3045,pkcbeta,,2009
CHEMBL1000238,Enzyme,,,,,,BAO_0000357,FALSE,Displacement of [3H]PDBu form human PKCgamma in presence of phosphatidylserine,CHEMBL1138492,FALSE,FALSE,,4,,FALSE,FALSE,[ 3h ] pdbu,CHEMBL2938,pkcgamma,,2009
CHEMBL1000239,Enzyme,,,,,,BAO_0000357,FALSE,Displacement of [3H]PDBu form human PKCdelta in presence of phosphatidylserine,CHEMBL1138492,FALSE,FALSE,,4,,FALSE,FALSE,[ 3h ] pdbu,CHEMBL2996,pkcdelta,,2009
CHEMBL1000240,Enzyme,,,,,,BAO_0000357,FALSE,Displacement of [3H]PDBu form human PKCepsilon in presence of phosphatidylserine,CHEMBL1138492,FALSE,FALSE,,4,,FALSE,FALSE,[ 3h ] pdbu,CHEMBL3582,pkcepsilon,,2009
CHEMBL1000259,G-protein coupled receptor,,1,CHO,,,BAO_0000219,FALSE,Displacement of [125I]substance P human recombinant NK1 receptor expressed in CHO cells in absence of human serum albumin,CHEMBL1138468,FALSE,FALSE,,4,,FALSE,FALSE,[ 125i ] substance p,CHEMBL249,nk1 receptor,,2009
CHEMBL1000360,Enzyme,,35,,,,BAO_0000357,TRUE,Inhibition of human Wee1 assessed as polyornithine-tyrosine copolymer phosphorylation,CHEMBL1156685,FALSE,TRUE,,6,,FALSE,FALSE,polyornithine - tyrosine copolymer,CHEMBL5491,wee1,,2008
CHEMBL1000365,Enzyme,,1,HT-29,,,BAO_0000219,FALSE,Inhibition of Cdc2 Tyr15 phosphorylation in human HT29 cells by Western blot,CHEMBL1156685,FALSE,TRUE,,6,,FALSE,FALSE,,CHEMBL308,cdc2,,2008
CHEMBL1000392,Enzyme,,1,,,,BAO_0000357,FALSE,Inhibition of human recombinant GAR transformylase,CHEMBL1157354,FALSE,FALSE,,8,,FALSE,FALSE,,CHEMBL3972,gar transformylase,,2008
CHEMBL1000429,Enzyme,,2,,,,BAO_0000357,FALSE,Inhibition of human PDE4D,CHEMBL1157355,FALSE,FALSE,,8,,FALSE,FALSE,,CHEMBL288,pde4d,,2008
CHEMBL1000436,Enzyme,,1,CHO,,,BAO_0000219,FALSE,Inhibition of GST-fused human MLK1 expressed in CHO cells assessed as MKK4 phosphorylation,CHEMBL1140055,FALSE,FALSE,,8,,FALSE,FALSE,mk,CHEMBL2872,mlk1,,2008
CHEMBL1000438,Enzyme,,1,,,,BAO_0000019,FALSE,Inhibition of human DLK expressed in baculovirus insect cell system,CHEMBL1140055,FALSE,FALSE,,8,,FALSE,FALSE,,CHEMBL5671,dlk,,2008
CHEMBL1000453,G-protein coupled receptor,,3,CHO,,,BAO_0000219,FALSE,Displacement of [3H]DPCPX from human adenosine A1 receptor expressed in CHO cell membrane,CHEMBL1155896,FALSE,TRUE,,7,,FALSE,FALSE,[ 3h ] dpcpx,CHEMBL226,adenosine a1 receptor,,2008
CHEMBL1000455,G-protein coupled receptor,,2,HEK293,,,BAO_0000219,FALSE,Displacement of [3H]ZM241385 from human adenosine A2A receptor expressed in HEK293 cell membrane,CHEMBL1155896,FALSE,TRUE,,7,,FALSE,FALSE,[ 3h ] zm241385,CHEMBL251,adenosine a2a receptor,,2008
CHEMBL1000457,G-protein coupled receptor,,1,CHO,,,BAO_0000219,FALSE,Displacement of [3H]MRS1754 from human adenosine A2B receptor expressed in CHO cell membrane,CHEMBL1155896,FALSE,TRUE,,7,,FALSE,FALSE,[ 3h ] mrs1754,CHEMBL255,adenosine a2b receptor,,2008
CHEMBL1000459,G-protein coupled receptor,,3,HEK293,,,BAO_0000219,FALSE,Displacement of [3H]AB-MECA from human adenosine A3 receptor expressed in HEK293 cell membrane,CHEMBL1155896,FALSE,TRUE,,7,,FALSE,FALSE,[ 3h ] ab - meca,CHEMBL256,adenosine a3 receptor,,2008
CHEMBL1000461,Solute carrier &  Ion channel,,1,,,,BAO_0000249,FALSE,Displacement of [125I]alpha-bungarotoxin from alpha7 nAChR in rat cortical membrane,CHEMBL1155922,FALSE,FALSE,,8,,FALSE,FALSE,[ 125i ] alpha - bungarotoxin,CHEMBL4980,alpha7 nachr,,2008
CHEMBL1000499,Enzyme,,1,,,,BAO_0000019,FALSE,Inhibition of AchE in rat cortex by Ellman's method,CHEMBL1156564,FALSE,FALSE,,8,,FALSE,FALSE,,CHEMBL3199,ache,,2008
CHEMBL1000500,Enzyme,,1,,,Serum,BAO_0000366,FALSE,Inhibition of BuchE in rat serum by Ellman's method,CHEMBL1156564,FALSE,FALSE,,8,,FALSE,FALSE,,CHEMBL3403,buche,,2008
CHEMBL1000504,G-protein coupled receptor,,1,SK-N-MC,,,BAO_0000219,FALSE,Displacement of [I125]CGRP from human CGRP receptor in SK-N-MC cells,CHEMBL1156565,FALSE,FALSE,,7,,FALSE,FALSE,[ i125 ] cgrp,CHEMBL3798,cgrp receptor,,2008
CHEMBL1000791,G-protein coupled receptor,,1,CHO,,,BAO_0000219,FALSE,Displacement of [125I]gp-120 from human CCR5 receptor expressed in CHO cells,CHEMBL1151236,FALSE,FALSE,,5,,FALSE,FALSE,[ 125i ] gp - 120,CHEMBL274,ccr5 receptor,,2004
CHEMBL1001098,Enzyme,,3,,,,BAO_0000357,FALSE,Inhibition of human recombinant HAT PCAF,CHEMBL1140889,FALSE,FALSE,,1,,FALSE,FALSE,,CHEMBL5500,hat pcaf,,2009
CHEMBL1001152,Transcription factor & Nuclear receptor,,1,,,,BAO_0000357,FALSE,Displacement of radiolabeled ligand from human PPARalpha by competition-binding assay,CHEMBL1141686,FALSE,FALSE,,9,,FALSE,FALSE,radiolabeled ligand,CHEMBL239,pparalpha,,2008
CHEMBL1001153,Transcription factor & Nuclear receptor,,1,,,,BAO_0000357,FALSE,Displacement of radiolabeled ligand from human PPARgamma by competition-binding assay,CHEMBL1141686,FALSE,FALSE,,9,,FALSE,FALSE,radiolabeled ligand,CHEMBL235,ppargamma,,2008
CHEMBL1001154,Transcription factor & Nuclear receptor,,1,,,,BAO_0000357,FALSE,Displacement of [3H]GW 2433 from human PPARdelta by competition-binding assay,CHEMBL1141686,FALSE,FALSE,,9,,FALSE,FALSE,[ 3h ] gw 2433,CHEMBL3979,ppardelta,,2008
CHEMBL1001157,G-protein coupled receptor,,,LMtk,,,BAO_0000219,FALSE,Binding affinity to human NPY Y5 receptor transfected in mouse LMtk cells,CHEMBL1141687,FALSE,FALSE,,9,,FALSE,FALSE,,CHEMBL4561,npy y5 receptor,,2008
CHEMBL1001164,G-protein coupled receptor,,,LMtk,,,BAO_0000219,FALSE,Antagonist activity at human NPY Y5 receptor transfected in mouse LMtk cells assessed as inhibition of neuropeptide Y-induced increase in intercellular Ca2+ level,CHEMBL1141687,FALSE,FALSE,,9,,FALSE,FALSE,neuropeptide y,CHEMBL4561,npy y5 receptor,,2008
CHEMBL1001173,Enzyme,,1,,,,BAO_0000357,FALSE,Inhibition of human recombinant TACE,CHEMBL1139393,FALSE,FALSE,,11,,FALSE,FALSE,,CHEMBL3706,tace,,2008
CHEMBL1001316,Enzyme,,1,,,,BAO_0000357,FALSE,Inhibition of human PDE4B1 in cytosolic fraction of lung,CHEMBL1157355,FALSE,FALSE,,8,,FALSE,FALSE,,CHEMBL275,pde4b1,,2008
CHEMBL1001317,Enzyme,,1,,,,BAO_0000357,FALSE,Inhibition of human PDE4B1 in particular fraction of lung,CHEMBL1157355,FALSE,FALSE,,8,,FALSE,FALSE,,CHEMBL275,pde4b1,,2008
CHEMBL1001318,Enzyme,,1,,,,BAO_0000357,FALSE,Inhibition of human PDE4B2 in cytosolic fraction of lung,CHEMBL1157355,FALSE,FALSE,,8,,FALSE,FALSE,,CHEMBL275,pde4b2,,2008
CHEMBL1001319,Enzyme,,1,,,,BAO_0000357,FALSE,Inhibition of human PDE4B2 in particular fraction of lung,CHEMBL1157355,FALSE,FALSE,,8,,FALSE,FALSE,,CHEMBL275,pde4b2,,2008
CHEMBL1001321,Enzyme,,1,,,,BAO_0000357,FALSE,Inhibition of human PDE4B3 in cytosolic fraction of lung,CHEMBL1157355,FALSE,FALSE,,8,,FALSE,FALSE,,CHEMBL275,pde4b3,,2008
CHEMBL1001322,Enzyme,,1,,,,BAO_0000357,FALSE,Inhibition of human PDE4B3 in particular fraction of lung,CHEMBL1157355,FALSE,FALSE,,8,,FALSE,FALSE,,CHEMBL275,pde4b3,,2008
CHEMBL1001370,Enzyme,,1,,,,BAO_0000357,FALSE,Inhibition of human factor 10a,CHEMBL1155925,FALSE,FALSE,,8,,FALSE,FALSE,,CHEMBL244,factor 10a,,2008
CHEMBL1001385,Transporter & related protein,,3,HEK293,,,BAO_0000219,FALSE,Displacement of [3H]citalopram from human SERT expressed in HEK293 cells,CHEMBL1155929,FALSE,FALSE,,8,,FALSE,FALSE,[ 3h ] citalopram,CHEMBL228,sert,,2008
CHEMBL1001386,Transporter & related protein,,3,HEK293,,,BAO_0000219,FALSE,Displacement of [3H]paroxetine from human SERT expressed in HEK293 cells,CHEMBL1155929,FALSE,FALSE,,8,,FALSE,FALSE,[ 3h ] paroxetine,CHEMBL228,sert,,2008
CHEMBL1002042,Enzyme,,1,HCT-116,,,BAO_0000219,FALSE,Inhibition of CDK9 in human HCT116 cells assessed as phosphor-ser2 level of RNA polymerase 2 after 16 hrs by high content cellular assay,CHEMBL1143434,FALSE,FALSE,,11,,FALSE,FALSE,,CHEMBL3116,cdk9,,2008
CHEMBL1002063,Enzyme,,2,Caco-2,,,BAO_0000219,FALSE,Inhibition of human Caco-2 cells-derived DPP4,CHEMBL1152235,FALSE,FALSE,,10,,FALSE,FALSE,,CHEMBL284,dpp4,,2008
CHEMBL1002142,Enzyme,,2,,,,BAO_0000357,FALSE,Inhibition of basal ATPase activity of human Eg5,CHEMBL1156439,FALSE,FALSE,,3,,FALSE,FALSE,,CHEMBL4581,eg5,,2007
CHEMBL1002143,Enzyme,,2,,,,BAO_0000357,FALSE,Inhibition of microtubule-stimulated human Eg5 ATPase activity,CHEMBL1156439,FALSE,FALSE,,3,,FALSE,FALSE,,CHEMBL4581,eg5,,2007
CHEMBL1002144,Transporter & related protein,Q01959,1,HEK293,,,BAO_0000219,FALSE,Displacement of [3H]CFT from human DAT M272L/1291M/R344M mutant expressed in HEK293 cells,CHEMBL1156440,FALSE,FALSE,,3,"M272L,I291M,R344M",FALSE,FALSE,[ 3h ] cft,CHEMBL238,dat,1,2007
CHEMBL1002145,Transporter & related protein,Q01959,1,HEK293,,,BAO_0000219,FALSE,Displacement of [3H]CFT from human DAT M272L/R344M mutant expressed in HEK293 cells,CHEMBL1156440,FALSE,FALSE,,3,"M272L,R344M",FALSE,FALSE,[ 3h ] cft,CHEMBL238,dat,1,2007
CHEMBL1002146,Transporter & related protein,Q01959,1,HEK293,,,BAO_0000219,FALSE,Displacement of [3H]CFT from human DAT R344M mutant expressed in HEK293 cells,CHEMBL1156440,FALSE,FALSE,,3,R344M,FALSE,FALSE,[ 3h ] cft,CHEMBL238,dat,1,2007
CHEMBL1002147,Transporter & related protein,,1,HEK293,,,BAO_0000219,FALSE,Displacement of [3H]CFT from human DAT expressed in HEK293 cells,CHEMBL1156440,FALSE,FALSE,,3,,FALSE,FALSE,[ 3h ] cft,CHEMBL238,dat,,2007
CHEMBL1002148,Transporter & related protein,Q01959,1,HEK293,,,BAO_0000219,FALSE,Inhibition of [3H]dopamine uptake at human DAT M272L/1291M/R344M mutant expressed in HEK293 cells,CHEMBL1156440,FALSE,FALSE,,3,"M272L,I291M,R344M",FALSE,FALSE,[ 3h ] dopamine,CHEMBL238,dat,1,2007
CHEMBL1002149,Transporter & related protein,Q01959,1,HEK293,,,BAO_0000219,FALSE,Inhibition of [3H]dopamine uptake at human DAT M272L/R344M mutant expressed in HEK293 cells,CHEMBL1156440,FALSE,FALSE,,3,"M272L,R344M",FALSE,FALSE,[ 3h ] dopamine,CHEMBL238,dat,1,2007
CHEMBL1002150,Transporter & related protein,Q01959,1,HEK293,,,BAO_0000219,FALSE,Inhibition of [3H]dopamine uptake at human DAT R344M mutant expressed in HEK293 cells,CHEMBL1156440,FALSE,FALSE,,3,R344M,FALSE,FALSE,[ 3h ] dopamine,CHEMBL238,dat,1,2007
CHEMBL1002151,Transporter & related protein,,1,HEK293,,,BAO_0000219,FALSE,Inhibition of [3H]dopamine uptake at human DAT expressed in HEK293 cells,CHEMBL1156440,FALSE,FALSE,,3,,FALSE,FALSE,[ 3h ] dopamine,CHEMBL238,dat,,2007
CHEMBL1002153,Enzyme,,1,,,,BAO_0000357,FALSE,Inhibition of human non-glycosylated PAI1 using tissue type plasminogen activator substrate by direct chromogenic assay,CHEMBL1156441,FALSE,FALSE,,3,,FALSE,FALSE,tissue type plasminogen activator,CHEMBL3475,pai1,,2007
CHEMBL1002154,Enzyme,,1,,,,BAO_0000357,FALSE,Inhibition of human non-glycosylated PAI1 using urokinase type plasminogen activator substrate by direct chromogenic assay,CHEMBL1156441,FALSE,FALSE,,3,,FALSE,FALSE,urokinase type plasminogen activator,CHEMBL3475,pai1,,2007
CHEMBL1002155,Enzyme,,1,,,,BAO_0000357,FALSE,Inhibition of human glycosylated PAI1 using tissue type plasminogen activator substrate by direct chromogenic assay,CHEMBL1156441,FALSE,FALSE,,3,,FALSE,FALSE,tissue type plasminogen activator,CHEMBL3475,pai1,,2007
CHEMBL1002177,G-protein coupled receptor,,1,CHO,,,BAO_0000219,FALSE,Displacement of [3H]nicotinic acid from human GPR109a receptor expressed in CHO cells,CHEMBL1156568,FALSE,FALSE,,7,,FALSE,FALSE,[ 3h ] nicotinic acid,CHEMBL3785,gpr109a receptor,,2008
CHEMBL1002226,Enzyme,,4,V79 MZh,,,BAO_0000219,TRUE,Inhibition of human CYP11B2 expressed in hamster V79 MZh cells,CHEMBL1156596,FALSE,TRUE,,8,,FALSE,TRUE,,CHEMBL2722,cyp11b2,,2008
CHEMBL1002228,Enzyme,,4,V79 MZh,,,BAO_0000219,TRUE,Inhibition of human CYP11B1 expressed in hamster V79 MZh cells,CHEMBL1156596,FALSE,TRUE,,8,,FALSE,TRUE,,CHEMBL1908,cyp11b1,,2008
CHEMBL1002249,Enzyme,,1,,,,BAO_0000019,FALSE,Inhibition of human recombinant CYP17 expressed in Escherichia coli,CHEMBL1156596,FALSE,TRUE,,8,,FALSE,FALSE,,CHEMBL3522,cyp17,,2008
CHEMBL1002250,Enzyme,,1,,,,BAO_0000019,FALSE,Inhibition of human placental CYP19,CHEMBL1156596,FALSE,TRUE,,8,,FALSE,FALSE,,CHEMBL1978,cyp19,,2008
CHEMBL1002353,Enzyme,,1,,,,BAO_0000357,FALSE,Inhibition of human glycosylated PAI1 using urokinase type plasminogen activator substrate by direct chromogenic assay,CHEMBL1156441,FALSE,FALSE,,3,,FALSE,FALSE,urokinase type plasminogen activator,CHEMBL3475,pai1,,2007
CHEMBL1002355,Enzyme,,1,,,,BAO_0000357,FALSE,Inhibition of vitronectin binding to human PAI1,CHEMBL1156441,FALSE,FALSE,,3,,FALSE,FALSE,vitronectin,CHEMBL3475,pai1,,2007
CHEMBL1002508,Enzyme,,5,HEK293,,,BAO_0000219,FALSE,Inhibition of human C-terminal FLAG-tagged HDAC1 in HEK293 cells,CHEMBL1136937,FALSE,FALSE,,5,,FALSE,FALSE,,CHEMBL325,hdac1,,2009
CHEMBL1002514,Enzyme,,3,HEK293,,,BAO_0000219,FALSE,Inhibition of human C-terminal FLAG-tagged HDAC2 in HEK293 cells,CHEMBL1136937,FALSE,FALSE,,5,,FALSE,FALSE,,CHEMBL1937,hdac2,,2009
CHEMBL1002515,Enzyme,,3,HEK293,,,BAO_0000219,FALSE,Inhibition of human C-terminal FLAG-tagged HDAC3 in HEK293 cells,CHEMBL1136937,FALSE,FALSE,,5,,FALSE,FALSE,,CHEMBL1829,hdac3,,2009
CHEMBL1002717,Enzyme,,3,,,,BAO_0000357,FALSE,Inhibition of human recombinant AChE,CHEMBL1150386,FALSE,TRUE,,5,,FALSE,FALSE,,CHEMBL220,ache,,2008
CHEMBL1002718,Enzyme,,3,,,,BAO_0000357,FALSE,Inhibition of human recombinant BuChE,CHEMBL1150386,FALSE,TRUE,,5,,FALSE,FALSE,,CHEMBL1914,buche,,2008
CHEMBL1002720,Enzyme,,1,,,,BAO_0000357,FALSE,Inhibition of fetal bovine serum AChE,CHEMBL1150386,FALSE,TRUE,,5,,FALSE,FALSE,,CHEMBL4768,ache,,2008
CHEMBL1002723,Enzyme,,3,,,,BAO_0000357,FALSE,Inhibition of Torpedo californica AChE,CHEMBL1150386,FALSE,TRUE,,5,,FALSE,FALSE,,CHEMBL4780,ache,,2008
CHEMBL1002983,Enzyme,,37,,,,BAO_0000357,TRUE,Inhibition of human recombinant carbonic anhydrase 1 by stopped flow CO2 hydration assay,CHEMBL1138443,FALSE,TRUE,,4,,TRUE,FALSE,,CHEMBL261,carbonic anhydrase 1,,2009
CHEMBL1002984,Enzyme,,37,,,,BAO_0000357,TRUE,Inhibition of human recombinant carbonic anhydrase 2 by stopped flow CO2 hydration assay,CHEMBL1138443,FALSE,TRUE,,4,,TRUE,FALSE,,CHEMBL205,carbonic anhydrase 2,,2009
