node_kind;path;line_span;clone_group;sim;normalized_sig
Function;src/scripts/run_target.py;246-255;AST1;1.0;Module(body=[FunctionDef(name='limited_extract', args=arguments(posonlyargs=[], args=[arg(arg='ARG', annotation=Name(id=
Function;src/bioetl/cli/command.py;197-204;AST1;1.0;Module(body=[FunctionDef(name='limited_extract', args=arguments(posonlyargs=[], args=[arg(arg='ARG', annotation=Name(id=
Function;src/bioetl/pandera_pandas.py;60-61;AST2;1.0;Module(body=[FunctionDef(name='to_schema', args=arguments(posonlyargs=[], args=[arg(arg='ARG')], kwonlyargs=[], kw_defau
Function;src/bioetl/schemas/document.py;25-25;AST2;1.0;Module(body=[FunctionDef(name='to_schema', args=arguments(posonlyargs=[], args=[arg(arg='ARG')], kwonlyargs=[], kw_defau
Function;src/bioetl/pandera_pandas.py;64-65;AST3;1.0;Module(body=[FunctionDef(name='validate', args=arguments(posonlyargs=[], args=[arg(arg='ARG'), arg(arg='ARG', annotation
Function;src/bioetl/schemas/document.py;28-28;AST3;1.0;Module(body=[FunctionDef(name='validate', args=arguments(posonlyargs=[], args=[arg(arg='ARG'), arg(arg='ARG', annotation
Function;src/bioetl/adapters/base.py;183-185;AST4;1.0;Module(body=[FunctionDef(name='close', args=arguments(posonlyargs=[], args=[arg(arg='ARG')], kwonlyargs=[], kw_defaults=
Function;src/bioetl/core/api_client.py;1000-1002;AST4;1.0;Module(body=[FunctionDef(name='close', args=arguments(posonlyargs=[], args=[arg(arg='ARG')], kwonlyargs=[], kw_defaults=
Function;src/bioetl/pipelines/assay.py;1066-1094;AST5;1.0;Module(body=[FunctionDef(name='_summarize_schema_errors', args=arguments(posonlyargs=[], args=[arg(arg='ARG'), arg(arg='
Function;src/bioetl/pipelines/testitem.py;1424-1450;AST5;1.0;Module(body=[FunctionDef(name='_summarize_schema_errors', args=arguments(posonlyargs=[], args=[arg(arg='ARG'), arg(arg='
Function;src/bioetl/pipelines/assay.py;1011-1028;AST6;1.0;Module(body=[FunctionDef(name='_handle_schema_failure', args=arguments(posonlyargs=[], args=[arg(arg='ARG', annotation=N
Function;src/bioetl/pipelines/testitem.py;1300-1317;AST6;1.0;Module(body=[FunctionDef(name='_handle_schema_failure', args=arguments(posonlyargs=[], args=[arg(arg='ARG', annotation=N
Function;src/bioetl/pipelines/target.py;136-143;AST7;1.0;Module(body=[FunctionDef(name='close_resources', args=arguments(posonlyargs=[], args=[arg(arg='ARG')], kwonlyargs=[], kw
Function;src/bioetl/pipelines/document.py;306-313;AST7;1.0;Module(body=[FunctionDef(name='close_resources', args=arguments(posonlyargs=[], args=[arg(arg='ARG')], kwonlyargs=[], kw
Function;src/bioetl/pipelines/target.py;175-179;AST8;1.0;Module(body=[FunctionDef(name='_get_chembl_release', args=arguments(posonlyargs=[], args=[arg(arg='ARG')], kwonlyargs=[]
Function;src/bioetl/pipelines/document.py;946-953;AST8;1.0;Module(body=[FunctionDef(name='_get_chembl_release', args=arguments(posonlyargs=[], args=[arg(arg='ARG')], kwonlyargs=[]
Function;src/bioetl/pipelines/__init__.py;35-49;AST9;1.0;Module(body=[FunctionDef(name='__getattr__', args=arguments(posonlyargs=[], args=[arg(arg='ARG', annotation=Name(id='NAM
Function;src/bioetl/schemas/__init__.py;62-70;AST9;1.0;Module(body=[FunctionDef(name='__getattr__', args=arguments(posonlyargs=[], args=[arg(arg='ARG', annotation=Name(id='NAM
Function;src/bioetl/pipelines/__init__.py;52-55;AST10;1.0;Module(body=[FunctionDef(name='__dir__', args=arguments(posonlyargs=[], args=[], kwonlyargs=[], kw_defaults=[], defaults
Function;src/bioetl/schemas/__init__.py;73-76;AST10;1.0;Module(body=[FunctionDef(name='__dir__', args=arguments(posonlyargs=[], args=[], kwonlyargs=[], kw_defaults=[], defaults
Function;src/bioetl/normalizers/chemistry.py;139-140;AST11;1.0;Module(body=[FunctionDef(name='validate', args=arguments(posonlyargs=[], args=[arg(arg='ARG'), arg(arg='ARG', annotation
Function;src/bioetl/normalizers/chemistry.py;166-167;AST11;1.0;Module(body=[FunctionDef(name='validate', args=arguments(posonlyargs=[], args=[arg(arg='ARG'), arg(arg='ARG', annotation
Function;src/bioetl/normalizers/chemistry.py;226-227;AST11;1.0;Module(body=[FunctionDef(name='validate', args=arguments(posonlyargs=[], args=[arg(arg='ARG'), arg(arg='ARG', annotation
Function;src/bioetl/normalizers/chemistry.py;173-174;AST12;1.0;Module(body=[FunctionDef(name='__init__', args=arguments(posonlyargs=[], args=[arg(arg='ARG')], kwonlyargs=[], kw_defaul
Function;src/bioetl/normalizers/chemistry.py;220-221;AST12;1.0;Module(body=[FunctionDef(name='__init__', args=arguments(posonlyargs=[], args=[arg(arg='ARG')], kwonlyargs=[], kw_defaul
Function;src/bioetl/normalizers/chemistry.py;233-234;AST12;1.0;Module(body=[FunctionDef(name='__init__', args=arguments(posonlyargs=[], args=[arg(arg='ARG')], kwonlyargs=[], kw_defaul
Function;src/bioetl/normalizers/chemistry.py;266-267;AST12;1.0;Module(body=[FunctionDef(name='__init__', args=arguments(posonlyargs=[], args=[arg(arg='ARG')], kwonlyargs=[], kw_defaul
Class;src/bioetl/schemas/assay.py;244-247;AST13;1.0;Module(body=[ClassDef(name='Config', bases=[], keywords=[], body=[Assign(targets=[Name(id='NAME', ctx=Store())], value=C
Class;src/bioetl/schemas/target.py;61-64;AST13;1.0;Module(body=[ClassDef(name='Config', bases=[], keywords=[], body=[Assign(targets=[Name(id='NAME', ctx=Store())], value=C
Class;src/bioetl/schemas/target.py;131-134;AST13;1.0;Module(body=[ClassDef(name='Config', bases=[], keywords=[], body=[Assign(targets=[Name(id='NAME', ctx=Store())], value=C
Class;src/bioetl/schemas/target.py;150-153;AST13;1.0;Module(body=[ClassDef(name='Config', bases=[], keywords=[], body=[Assign(targets=[Name(id='NAME', ctx=Store())], value=C
